,Heat
1028,5.267874642
1029,4.937320986
1030,4.72863758
1031,4.491734986
1032,4.39033474
1033,4.317331426
1034,4.247525978
1035,4.177165133
1036,4.115356293
1037,4.105793626
1038,4.200774174
1039,4.42639391
1040,4.831370659
1041,5.348780766
1042,5.739452659
1043,6.026179985
1044,6.374890909
1045,6.678433168
1046,6.783340652
1047,6.757961667
1048,6.690222618
1049,6.61274288
1050,6.499160339
1051,6.271457021
1052,5.755681651
1053,4.580023366
1054,4.104563961
1055,3.616524014
1056,3.042620852
1057,2.91735958
1058,2.960097374
1059,3.069793551
1060,3.238594469
1061,3.421145102
1062,3.663944486
1063,3.932454069
1064,3.912494885
1065,4.283884014
1066,4.750605426
1067,5.128409192
1068,5.836930688
1069,7.196771183
1070,8.170013155
1071,8.41714205
1072,8.05299468
1073,7.204979242
1074,6.119389985
1075,5.296512454
1076,4.614377188
1077,4.324829817
1078,4.142034286
1079,3.93452025
1080,3.845699043
1081,3.781752034
1082,3.720606186
1083,3.658973838
1084,3.604832592
1085,3.596456205
1086,3.679654099
1087,3.877284952
1088,4.232022983
1089,4.685246637
1090,5.027454375
1091,5.278612219
1092,5.584064387
1093,5.849951215
1094,5.941844575
1095,5.919613937
1096,5.860278144
1097,5.792410026
1098,5.692917779
1099,5.493461819
1100,5.041670107
1101,4.011856161
1102,3.595379084
1103,3.167882124
1104,3.237321632
1105,3.104044748
1106,3.149517383
1107,3.266233143
1108,3.445835824
1109,3.640068081
1110,3.898404474
1111,4.184096292
1112,4.162859897
1113,4.55801464
1114,5.054602088
1115,5.456581948
1116,6.210442543
1117,7.657300783
1118,8.692821619
1119,8.955764574
1120,8.568314998
1121,7.666034085
1122,6.510976733
1123,5.63544233
1124,4.90965645
1125,4.601580612
1126,4.407087786
1127,4.186294691
1128,4.091789713
1129,4.023750662
1130,3.958692021
1131,3.89311575
1132,3.835509942
1133,3.826597541
1134,3.915119364
1135,4.125396841
1136,4.502834963
1137,4.985060916
1138,5.349166918
1139,5.616396638
1140,5.941395039
1141,6.224296268
1142,6.322069989
1143,6.298416788
1144,6.23528403
1145,6.163072953
1146,6.057214084
1147,5.844994709
1148,5.36429233
1149,4.268579415
1150,3.825451495
1151,3.370598515
1152,3.34902024
1153,3.211144851
1154,3.258186446
1155,3.378929297
1156,3.564728882
1157,3.765662812
1158,4.03291269
1159,4.328461847
1160,4.306492724
1161,4.71528165
1162,5.229003054
1163,5.644852586
1164,6.424723936
1165,7.921503708
1166,8.992753534
1167,9.264768916
1168,8.863951012
1169,7.930538337
1170,6.735627578
1171,5.82988426
1172,5.079056298
1173,4.760350796
1174,4.559147306
1175,4.330736098
1176,4.232970377
1177,4.162583747
1178,4.095280362
1179,4.027441486
1180,3.967848082
1181,3.958628173
1182,4.0502043
1183,4.267737065
