,Power
1433,1.976047022
1434,1.920252186
1435,1.751748847
1436,1.51657691
1437,1.290909659
1438,1.106277941
1439,0.939847052
1440,0.939847052
1441,1.000810505
1442,1.02253815
1443,0.982890815
1444,0.968457981
1445,0.981361015
1446,0.971159824
1447,0.923291083
1448,0.944751868
1449,1.014023353
1450,1.187792617
1451,1.390142574
1452,1.570143587
1453,1.674916262
1454,1.684236898
1455,1.577850985
1456,1.586102229
1457,1.532829822
1458,1.55344151
1459,1.521789813
1460,1.559374573
1461,1.552848227
1462,1.605150372
1463,1.582487972
1464,1.514963933
1465,1.458185842
1466,1.442244297
1467,1.415211468
1468,1.468314409
1469,1.51151743
1470,1.667239575
1471,1.78298447
1472,2.01746179
1473,2.084366158
1474,2.103151034
1475,2.056238715
1476,2.033359996
1477,2.011495148
1478,1.951762623
1479,1.961887551
1480,2.030077167
1481,1.976047022
1482,1.920252186
1483,1.751748847
1484,1.51657691
1485,1.290909659
1486,1.106277941
1487,0.939847052
1488,0.939847052
1489,1.000810505
1490,1.02253815
1491,0.982890815
1492,0.968457981
1493,0.981361015
1494,0.971159824
1495,0.923291083
1496,0.944751868
1497,1.014023353
1498,1.187792617
1499,1.390142574
1500,1.570143587
1501,1.674916262
1502,1.684236898
1503,1.577850985
1504,1.586102229
1505,1.532829822
1506,1.55344151
1507,1.521789813
1508,1.559374573
1509,1.552848227
1510,1.605150372
1511,1.582487972
1512,1.514963933
1513,1.458185842
1514,1.442244297
1515,1.415211468
1516,1.468314409
1517,1.51151743
1518,1.667239575
1519,1.78298447
1520,2.01746179
1521,2.084366158
1522,2.103151034
1523,2.056238715
1524,2.033359996
1525,2.011495148
1526,1.951762623
1527,1.961887551
1528,2.030077167
1529,1.976047022
1530,1.920252186
1531,1.751748847
1532,1.51657691
1533,1.290909659
1534,1.106277941
1535,0.939847052
1536,0.939847052
1537,1.000810505
1538,1.02253815
1539,0.982890815
1540,0.968457981
1541,0.981361015
1542,0.971159824
1543,0.923291083
1544,0.944751868
1545,1.014023353
1546,1.187792617
1547,1.390142574
1548,1.570143587
1549,1.674916262
1550,1.684236898
1551,1.577850985
1552,1.586102229
1553,1.532829822
1554,1.55344151
1555,1.521789813
1556,1.559374573
1557,1.552848227
1558,1.605150372
1559,1.582487972
1560,1.514963933
1561,1.458185842
1562,1.442244297
1563,1.415211468
1564,1.468314409
1565,1.51151743
1566,1.667239575
1567,1.78298447
1568,2.01746179
1569,2.084366158
1570,2.103151034
1571,2.056238715
1572,2.033359996
1573,2.011495148
1574,1.951762623
1575,1.961887551
1576,2.030077167
1577,1.976047022
1578,1.920252186
1579,1.751748847
1580,1.51657691
1581,1.290909659
1582,1.106277941
1583,0.939847052
1584,0.939847052
1585,1.000810505
1586,1.02253815
1587,0.982890815
1588,0.968457981
1589,0.981361015
1590,0.971159824
1591,0.923291083
1592,0.944751868
1593,1.014023353
1594,1.187792617
1595,1.390142574
1596,1.570143587
1597,1.674916262
1598,1.684236898
1599,1.577850985
1600,1.586102229
1601,1.532829822
1602,1.55344151
1603,1.521789813
1604,1.559374573
1605,1.552848227
1606,1.605150372
1607,1.582487972
1608,1.514963933
1609,1.458185842
1610,1.442244297
1611,1.415211468
1612,1.468314409
1613,1.51151743
1614,1.667239575
1615,1.78298447
1616,2.01746179
1617,2.084366158
1618,2.103151034
1619,2.056238715
1620,2.033359996
1621,2.011495148
1622,1.951762623
1623,1.961887551
1624,2.030077167
1625,1.976047022
1626,1.920252186
1627,1.751748847
1628,1.51657691
1629,1.290909659
1630,1.106277941
1631,0.939847052
1632,0.939847052
1633,1.000810505
1634,1.02253815
1635,0.982890815
1636,0.968457981
1637,0.981361015
