DayofYear,Unnamed: 0,ANON_ID,HH,GASKWH,Month,WeekofYear,Power
129,6159014.241565645,8146.171603385178,23.61522186642269,0.1381882482334405,5.0,18.522987191216835,0.276376496466881
130,6143439.106468656,8096.163472797372,23.664658003712695,0.13455405434145337,5.0,19.0,0.26910810868290674
131,6139076.59923055,8132.705186662867,23.5141065830721,0.1382035883412273,5.0,19.520632658877172,0.2764071766824546
132,6150846.682579612,8127.700388771368,23.598107598193355,0.14400989201741715,5.0,19.516608541535646,0.2880197840348343
133,6165092.639380847,8159.699064404452,23.665560355926868,0.1395892778765674,5.0,19.522274040799978,0.2791785557531348
134,6158759.5002159085,8086.74160117454,23.62619109307079,0.12432168532051562,5.0,19.52644154647782,0.24864337064103123
135,6171061.260876993,8128.309937357631,23.603644646924828,0.11258914360490602,5.0,19.528189066059227,0.22517828720981203
136,6178158.947346108,8158.848821434628,23.521366796676276,0.12182739871337586,5.0,19.531060991464585,0.24365479742675172
137,6146942.804873321,8132.108542156999,23.657178457704553,0.11880042299863879,5.0,20.0,0.23760084599727757
138,6159008.475188721,8125.340003330373,23.605239786856128,0.10259931597445338,5.0,20.50163743339254,0.20519863194890675
139,6168702.841873309,8129.582996290201,23.54969177986667,0.09312068804870387,5.0,20.502329084265433,0.18624137609740773
140,6179055.960861918,8154.473202506596,23.48463610378188,0.07662590055951712,5.0,20.54452506596306,0.15325180111903425
141,6190018.967886606,8100.527905431593,23.553956037871657,0.0654228801449469,5.0,20.54565084989757,0.1308457602898938
142,6143522.194663299,8121.038899717243,23.616959947291843,0.06832604994308257,5.0,20.548302083619294,0.13665209988616514
143,6184268.422931091,8134.23777338169,23.5156061105616,0.05838445655706991,5.0,20.551763930102208,0.11676891311413982
144,6155815.937592428,8135.175553225243,23.64854400258127,0.05362903058793235,5.0,21.0,0.1072580611758647
145,6192707.943042264,8094.370781033968,23.512456963157753,0.055938821784070746,5.0,21.48876297882723,0.11187764356814149
146,6136066.440278286,8126.985389967045,23.567704137678508,0.07219108579976384,5.0,21.66726473819114,0.14438217159952768
147,6158746.100076,8111.419602627436,23.534308669453342,0.08222757329458569,5.0,21.55417729764942,0.16445514658917137
148,6169213.669046913,8139.941499824849,23.72452911535663,0.065647620680225,5.0,21.555522621325213,0.13129524136045
