,Demand
1102,1.860028674
1103,1.686826418
1104,1.690118961
1105,1.693007299
1106,1.713285688
1107,1.717626627
1108,1.747594802
1109,1.794259791
1110,1.842644664
1111,1.877859377
1112,1.884193027
1113,2.000640846
1114,2.190337986
1115,2.374738099
1116,2.62081645
1117,2.972757528
1118,3.191810083
1119,3.193056329
1120,3.116965138
1121,2.903522434
1122,2.67468743
1123,2.477592627
1124,2.346119698
1125,2.279073098
1126,2.26495675
1127,2.207912974
1128,2.154584826
1129,2.112109106
1130,2.090668718
1131,2.063575519
1132,2.078200394
1133,2.097956698
1134,2.194145159
1135,2.295553049
1136,2.49093577
1137,2.624227086
1138,2.709003329
1139,2.740873895
1140,2.796721578
1141,2.844360479
1142,2.834737099
1143,2.83490245
1144,2.855926373
1145,2.813960859
1146,2.764146624
1147,2.635957465
1148,2.418847803
1149,2.079159888
1150,1.895099679
1151,1.71771235
1152,1.706809533
1153,1.709005522
1154,1.729520133
1155,1.734467388
1156,1.765368567
1157,1.813042557
1158,1.86276944
1159,1.899468269
1160,1.9056916
1161,2.024192175
1162,2.216468996
1163,2.402957321
1164,2.652951839
1165,3.012409079
1166,3.236840975
1167,3.239453161
1168,3.161349241
1169,2.943219353
1170,2.708384039
1171,2.506740996
1172,2.371497742
1173,2.302850744
1174,2.287724043
1175,2.229533286
1176,2.175714203
1177,2.132885033
1178,2.111106677
1179,2.083672821
1180,2.097998444
1181,2.11770845
1182,2.214356765
1183,2.316857009
1184,2.514200452
1185,2.649996842
1186,2.736664549
1187,2.769923324
1188,2.827459314
1189,2.876567835
1190,2.867452372
1191,2.867494849
1192,2.888190809
1193,2.845850171
1194,2.79548602
1195,2.666194419
1196,2.446587597
1197,2.101207654
1198,1.914845477
1199,1.735095271
1200,1.686881993
1201,1.689893159
1202,1.71012964
1203,1.714363013
1204,1.744165666
1205,1.79065165
1206,1.838798439
1207,1.873749857
1208,1.880103078
1209,1.996186721
1210,2.185426203
1211,2.36945585
1212,2.61483944
1213,2.965447087
1214,3.183545301
1215,3.184549218
1216,3.108815102
1217,2.896203944
1218,2.668433447
1219,2.47214554
1220,2.341341498
1221,2.274578822
1222,2.26064172
1223,2.203801427
1224,2.150560376
1225,2.108147361
1226,2.086766932
1227,2.059734168
1228,2.074412133
1229,2.094176651
1230,2.190283528
1231,2.291497627
1232,2.486532499
1233,2.619379393
1234,2.703820074
1235,2.73544436
1236,2.790992523
1237,2.838370701
1238,2.828657213
1239,2.828844362
1240,2.849926469
1241,2.808027505
1242,2.758310831
1243,2.630317253
1244,2.413650609
1245,2.074972507
1246,1.891320687
1247,1.714352553
1248,1.629520971
1249,1.675540861
1250,1.698250098
1251,1.688861071
1252,1.694447859
1253,1.716479477
1254,1.732677116
1255,1.730321954
1256,1.779423916
1257,1.868919317
1258,2.024014427
1259,2.218675136
1260,2.432303432
1261,2.693782253
1262,2.842555587
1263,2.788271613
1264,2.744511733
1265,2.64134319
1266,2.577570291
1267,2.494374308
1268,2.433235303
1269,2.387536889
1270,2.396375821
1271,2.381263438
1272,2.349895994
1273,2.330427507
1274,2.31036316
1275,2.313767069
1276,2.366864599
1277,2.419894503
1278,2.526066076
1279,2.620894879
1280,2.770926204
1281,2.838648923
1282,2.880309997
1283,2.872741761
1284,2.852239579
1285,2.818470032
1286,2.753143242
1287,2.723317061
1288,2.735975689
1289,2.70573806
1290,2.659978092
1291,2.489912672
1292,2.261969743
1293,1.995164567
1294,1.758784404
1295,1.613982808
1296,1.598027478
1297,1.643248421
1298,1.665348588
1299,1.655423028
1300,1.660351496
1301,1.681582012
1302,1.696684532
1303,1.693219802
1304,1.740348763
1305,1.827023372
1306,1.978611213
1307,2.168465043
1308,2.375736604
1309,2.626464239
1310,2.767827523
1311,2.713599647
1312,2.67230196
1313,2.573068582
1314,2.513104688
1315,2.433372764
1316,2.376343697
1317,2.332827233
1318,2.342556326
1319,2.327638365
1320,2.296147795
1321,2.276220628
1322,2.256778112
1323,2.259312007
1324,2.311044583
1325,2.362458492
1326,2.467174386
1327,2.560102956
1328,2.708448137
1329,2.774408721
1330,2.814410596
1331,2.80602543
1332,2.785989243
1333,2.753393943
1334,2.689890473
1335,2.661858208
1336,2.675619049
1337,2.645547119
1338,2.600705613
1339,2.435052593
1340,2.212784034
1341,1.953895817
1342,1.7249232
1343,1.583288261
1344,1.674217422
1345,1.677734324
1346,1.697798254
1347,1.701588734
1348,1.730709863
1349,1.776458808
1350,1.823625309
1351,1.857492634
1352,1.86392644
1353,1.978510619
1354,2.16586574
1355,2.348370025
1356,2.590892999
1357,2.936010365
1358,3.150179169
1359,3.150185317
1360,3.075921425
1361,2.866734083
1362,2.643346592
1363,2.450381008
1364,2.322331049
1365,2.256737404
1366,2.243538329
1367,2.187535863
1368,2.134653422
1369,2.09249859
1370,2.071365033
1371,2.044581106
1372,2.059477664
1373,2.079276001
1374,2.175046972
1375,2.275463146
1376,2.469065783
1377,2.600082812
1378,2.683141848
1379,2.713752099
1380,2.768067016
1381,2.81437169
1382,2.804287187
1383,2.804564092
1384,2.825885764
1385,2.784260813
1386,2.734945834
1387,2.607757548
1388,2.392914988
1389,2.058394703
1390,1.876424386
1391,1.701182247
1392,1.703081706
1393,1.70540508
1394,1.725876229
1395,1.730711927
1396,1.761441442
1397,1.808929785
1398,1.85840975
1399,1.894835515
1400,1.901079144
1401,2.01920203
1402,2.211004212
1403,2.397108325
1404,2.646382303
1405,3.004456638
1406,3.227898783
1407,3.230259648
1408,3.152526052
1409,2.935258564
1410,2.701527254
1411,2.500721045
1412,2.366171498
1413,2.297818959
1414,2.282878153
1415,2.224898431
1416,2.171169675
1417,2.128405537
1418,2.106689364
1419,2.079318186
1420,2.093698869
1421,2.113417393
1422,2.209981099
1423,2.312280359
1424,2.509263047
1425,2.644598526
1426,2.73091822
1427,2.763921578
1428,2.821146935
1429,2.869985059
1430,2.860776143
1431,2.860841228
1432,2.88159753
1433,2.839325912
1434,2.78906294
1435,2.659974179
1436,2.440826811
1437,2.096494151
1438,1.910555515
1439,1.731240058
1440,1.728275862
1441,1.729556805
1442,1.75038362
1443,1.756132216
1444,1.788266502
1445,1.837274043
1446,1.888774599
1447,1.927434918
1448,1.933512445
1449,2.054726054
1450,2.25041232
1451,2.439660539
1452,2.694830876
1453,3.064221885
1454,3.295763409
1455,3.300180897
1456,3.219416844
1457,2.995092119
1458,2.752326469
1459,2.544672225
1460,2.404445906
1461,2.333683736
1462,2.317221695
1463,2.257515028
1464,2.203047096
1465,2.159750788
1466,2.137525755
1467,2.109641669
1468,2.123571786
1469,2.143220601
1470,2.240476684
1471,2.344420641
1472,2.54435548
1473,2.683462714
1474,2.772630282
1475,2.80772379
1476,2.867491138
1477,2.918541989
1478,2.910097815
1479,2.909977895
1480,2.930240402
1481,2.887403981
1482,2.836313028
1483,2.705564383
1484,2.482657177
1485,2.129754342
1486,1.940349759
1487,1.757476646
1488,1.826508623
1489,1.823740216
1490,1.845948626
1491,1.855243395
1492,1.892834546
1493,1.947743441
1494,2.007093027
1495,2.054433514
1496,2.059865817
1497,2.193085405
1498,2.403859478
1499,2.605321043
1500,2.883395912
1501,3.296746787
1502,3.55975052
1503,3.572156998
1504,3.479621073
1505,3.227882365
1506,2.95002263
1507,2.71576704
1508,2.553489183
1509,2.473366751
1510,2.450995438
1511,2.384580419
1512,2.327241145
1513,2.281877606
1514,2.257675899
1515,2.22779941
1516,2.23997929
1517,2.259357321
1518,2.359302961
1519,2.469635774
1520,2.681038308
1521,2.834797004
1522,2.935027197
1523,2.978239941
1524,3.047881709
1525,3.107527942
1526,3.102054426
1527,3.101215851
1528,3.119560196
1529,3.074529787
1530,3.020222527
1531,2.883026024
1532,2.645513647
1533,2.259319789
1534,2.056451658
1535,1.859758756
1536,1.729795048
1537,1.731003014
1538,1.751854727
1539,1.757667233
1540,1.789899862
1541,1.839013756
1542,1.890655767
1543,1.929472518
1544,1.935538417
1545,2.056968397
1546,2.252926574
1547,2.4423949
1548,2.697978021
1549,3.06816127
1550,3.300269803
1551,3.304831267
1552,3.223855063
1553,2.999036287
1554,2.755638175
1555,2.547504523
1556,2.406880794
1557,2.335949934
1558,2.319381397
1559,2.259553833
1560,2.205034154
1561,2.16170059
1562,2.139439934
1563,2.111519941
1564,2.125418515
1565,2.14506245
1566,2.242367005
1567,2.3464261
1568,2.546567609
1569,2.68593889
1570,2.775305828
1571,2.81054566
1572,2.870490964
1573,2.921696719
1574,2.913306083
1575,2.913173211
1576,2.933401149
1577,2.890525188
1578,2.839376272
1579,2.708511424
1580,2.485341005
1581,2.131838203
1582,1.942190981
1583,1.759068809
1584,1.635438417
1585,1.681631624
1586,1.704472989
1587,1.695200353
1588,1.700929952
1589,1.723135356
1590,1.739570562
1591,1.737456101
1592,1.786986072
1593,1.877093396
1594,2.032949347
1595,2.228652826
1596,2.443660106
1597,2.707471212
1598,2.857852028
1599,2.803555884
1600,2.759261875
1601,2.655239665
1602,2.590640469
1603,2.506693017
1604,2.444662432
1605,2.398490681
1606,2.407136508
1607,2.391981949
1608,2.360641214
1609,2.34127223
1610,2.321072987
1611,2.324665632
1612,2.378059264
1613,2.431439731
1614,2.537927089
1615,2.633168115
1616,2.78356522
1617,2.851670203
1618,2.893691212
1619,2.886300195
1620,2.865696923
1621,2.831672644
1622,2.765950315
1623,2.735734975
1624,2.748154497
1625,2.717880923
1626,2.67192171
1627,2.500899097
1628,2.27172521
1629,2.003202586
1630,1.765215484
1631,1.619726936
1632,1.626050888
1633,1.672008213
1634,1.694669754
1635,1.68523871
1636,1.690773945
1637,1.71274283
1638,1.72885471
1639,1.726412657
1640,1.775360114
1641,1.86463462
1642,2.019455075
1643,2.213739359
1644,2.42686986
1645,2.687506757
1646,2.835699811
1647,2.78142023
1648,2.737853164
1649,2.634992783
1650,2.571518167
1651,2.488593454
1652,2.427776297
1653,2.382248752
1654,2.391157392
1655,2.376060234
1656,2.344683148
1657,2.325178742
1658,2.30516309
1659,2.308498869
1660,2.361489509
1661,2.414392865
1662,2.520450444
1663,2.61513044
